doi,study_id,author,year,year_date,country,country_economic_category,country_economic_category1,study_design,number_of_patients,inclusion_criteria,exclusion_criteria,extracorporeal,renal_function,patient_characteristics,patient_characteristics1,patient_characteristics2,patient_characteristics3,patient_characteristics4,other_patient_groups_studied,samples_used,other_samples,betalactam_studied,abx_cat,other_antimicrobials,quantification_method,modelling_software,compartments,model_evaluation_process,covariate_identification,covariate_testing_method,method_for_PTA,covariates_reported
https://dx.doi.org/10.1128/AAC.01543-15,1,Abdul-Aziz,2016,2016-01-01,Malaysia,Upper-middle-income,Middle-income,prospective PK study,12,adult (≥18 years old) ICU patients and were prescribed doripenem for the treatment of sepsis (defined as presumed or confirmed infection with systemic inflammatory response syndrome manifesting in the previous 48 h),"required any form of extracorporeal renal support, were pregnant or lactating mothers, or were known or presumed to be allergic to doripenem or any of the carbapenem antibiotics",no,normal,"sepsis, VAP",sepsis,VAP,NA,NA,no,plasma,no,doripenem,carbapenem,no,HPLC,NONMEM 7.3,2,"nonparametric bootstrap, VPC",biological plausibility,"stepwise forward inclusion, backward elimination, scatter plots",Monte Carlo,yes
https://dx.doi.org/10.1128/AAC.00745-20,2,Al-Shaer,2020,2020-01-01,USA,High-income,High-income,retrospective PK study,230,"paediatric dataset: ages of 2 months and 18 years; adult dataset: 18 years of age or older, received cefepime, had cefepime concentrations reported as part of routine clinical care, and were admitted to the medical, surgical, cardiac, or neurological ICU between 2016 and 2018","paediatric dataset: allergic to beta-lactam antibiotics or if they had central nervous system involvement, human immunodeficiency virus infection, cystic fibrosis, endocarditis, lung abscess, osteomyelitis, severe burns (≥20% full thickness), an infected prosthesis, an absolute granulocyte count of <500/mm3, or a serum creatinine level of >2 mg/dl; adult dataset: receiving renal replacement therapy",no,normal,general ICU,general ICU,NA,NA,NA,yes,plasma,no,cefepime,cephalosporin,no,"HPLC, LC-MS/MS",Pmetrics 1.5.2,2,"AIC, coefficient of determination of observed versus predicted plots for both population and Bayesian models, imprecision, bias",NA,stepwise forward inclusion,Monte Carlo,yes
https://dx.doi.org/10.1128/AAC.00144-21,3,Al-Shaer,2021,2021-01-01,USA,High-income,High-income,prospective PK study,10,"≥18 years old, were admitted to the ICU, and received cefepime 2 g i.v. every 8 h as a 4-h infusion while on CVVH or CVVHD","pregnancy, cystic fibrosis, incarceration, admission for burns, and unmeasured or >400 ml of urine output in the last 24 h",RRT,impaired,CRRT,CRRT,NA,NA,NA,no,plasma,"predialyzer serum, postdialyzer serum, and effluent samples",cefepime,cephalosporin,no,HPLC,Pmetrics 1.9.7,5,"AIC, highest coefficient of determination of observed versus predicted plots for both population and Bayesian, lowest imprecision, lowest bias",NA,stepwise forward inclusion,Monte Carlo,yes
https://dx.doi.org/10.1128/AAC.01611-21,4,Al-Shaer,2022,2022-01-01,USA,High-income,High-income,retrospective PK study,125,"dataset 1: adult ICU patients who received cefepime 2 g IV every 8 h via a 4-h infusion while on CVVH or CVVHD; dataset 2: adult patients admitted to the medical or surgical ICU, receiving CVVH or CVVHD, and received cefepime 2 g IV over 30 min every 8 h; dataset 3: ICU patients admitted to UF Health between 2016 and 2021, on CRRT, received cefepime therapy, and had cefepime plasma concentration measured","dataset 1: pregnancy, cystic fibrosis, incarceration, admission for burns, and unmeasured or >400 mL of urine output in the last 24 h; dataset 2: pregnancy and incarceration; dataset 3: CRRT started after measuring cefepime concentration",RRT,impaired,CRRT,CRRT,NA,NA,NA,no,plasma,"predialyzer serum, postdialyzer serum, and effluent samples",cefepime,cephalosporin,no,"HPLC, LC-MS/MS",Pmetrics 1.9.7,5,"AIC, highest coefficient of determination of observed versus predicted concentration plots, lowest imprecision, lowest bias",NA,NA,NA,no
https://dx.doi.org/10.1128/AAC.00531-16,5,Alobaid,2016,2016-01-01,Australia,High-income,High-income,prospective PK study,19,"age of ≥18 years, receiving meropenem (prophylaxis or treatment), and body mass index (BMI) of ≥18.5 kg/m2","patients on renal replacement therapy, pregnant women, actively bleeding patients, patients with HIV or hepatitis",no,normal,obesity,obesity,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,HPLC-UV,Pmetrics,2,"VPC, coefficient of determination of linear regression of observed-predicted values, log likelihood values, bias, imprecision",biological plausibility,"stepwise forward inclusion, LLR",Monte Carlo,yes
https://dx.doi.org/10.1128/AAC.01276-16,6,Alobaid,2017,2017-01-01,Australia,High-income,High-income,prospective PK study,37,"age of ≥18 years, treatment with piperacillin, BMI of ≥18.5 kg/m2","renal replacement therapy (RRT), pregnancy for women, active bleeding, HIV infection or hepatitis",no,normal,obesity,obesity,NA,NA,NA,no,plasma,no,piperacillin,penicillin,no,UHPLC-MS/MS,Pmetrics,2,"visual inspection of scatter plots, coefficient of determination of the linear regression of the observed-predicted values, log likelihood values, imprecision, bias, bootstrapping, VPC",NA,"bootstrapping, VPC",Monte Carlo,yes
https://dx.doi.org/10.1128/aac.01312-22,7,An,2023,2023-01-01,USA,High-income,High-income,prospective PK study,130,adult ICU patients prescribed intravenous meropenem as the standard of care,"patients who were on intermittent dialysis or extracorporeal membrane oxygenation, receiving probenecid, or who were pregnant at the time of enrollment",no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,LC-MS/MS,NONMEM 7.4.3,1,"objective function values, precision of the estimated parameters, goodness-of-fit plots, AIC, VPC, LRT",biological plausibility,"stepwise forward inclusion, backward elimination, OFV",Monte Carlo,yes
https://dx.doi.org/10.1093/jac/dkt304,8,Asin-Prieto,2014,2014-01-01,Spain,High-income,High-income,prospective PK study,16,aged >18 years and needing to be treated with continuous venovenous haemofiltration for at least 20 h,NA,RRT,impaired,CRRT,CRRT,NA,NA,NA,no,plasma,no,piperacillin,penicillin,tazobactam,HPLC–UV,NONMEM 7.2,2,"goodness-of-fit, bootstrapping, VPC",NA,"stepwise forward inclusion, backward elimination, goodness-of-fit plots",Monte Carlo,yes
https://dx.doi.org/10.1002/phar.2766,9,Barreto,2023,2023-01-01,USA,High-income,High-income,prospective PK study,100,treated with cefepime at a stable dose and interval,"exposure to cefepime within the 4-days prior to the study course, received greater than one dose of cefepime prior to ICU admission, had acute kidney injury stage II or higher, were on kidney replacement therapy, or were cannulated for extracorporeal membrane oxygenation at the time of beta-lactam initiation, patient did not authorize their medical records to be used for research",no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,cefepime,cephalosporin,no,IDMS,Monolix 2020R1,1,"BIC, goodness-of-fit, between subject variability of population estimates",biological plausibility,stepwise fashion,NA,yes
https://dx.doi.org/10.1093/jac/dkaa362,10,Bastida,2020,2020-01-01,Spain,High-income,High-income,prospective PK study,54,"presence of cirrhosis, age ≥18 years and clinical indication for treatment with meropenem","HIV infection, advanced neoplasm (except for hepatocellular carcinoma under the Milan criteria) and renal replacement therapy",no,unclear,decompensated liver disease,liver failure,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,UHPLC,NONMEM 7.3,1,"clinical plausibility, significant decreases in objective function value, bootstrapping, VPC",biological plausibility,"scatter plots, distribution of residuals, Bayesian shrinkage",Monte Carlo,yes
