outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
creatinine clearance,Physiological parameters,no,NA,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
SOFA,Disease severity score,no,NA,Abdul-Aziz,2016,https://dx.doi.org/10.1128/AAC.01543-15,Malaysia,prospective PK study,12,no,normal,sepsis,doripenem
weight,Patient characteristics,no,NA,Abdul-Aziz,2016,https://dx.doi.org/10.1128/AAC.01543-15,Malaysia,prospective PK study,12,no,normal,sepsis,doripenem
age,Patient characteristics,yes,Ke,Al-Shaer,2020,https://dx.doi.org/10.1128/AAC.00745-20,USA,retrospective PK study,230,no,normal,general ICU,cefepime
creatinine clearance,Physiological parameters,no,NA,Bue,2020,https://dx.doi.org/10.1016/j.ijid.2020.01.010,Denmark,prospective PK study,10,RRT,impaired,CRRT,piperacillin
weight,Patient characteristics,yes,"V, Ke",Al-Shaer,2020,https://dx.doi.org/10.1128/AAC.00745-20,USA,retrospective PK study,230,no,normal,general ICU,cefepime
sex,Patient characteristics,no,NA,Al-Shaer,2020,https://dx.doi.org/10.1128/AAC.00745-20,USA,retrospective PK study,230,no,normal,general ICU,cefepime
CRRT parameters,Extracorporeal parameters,yes,NA,Al-Shaer,2021,https://dx.doi.org/10.1128/AAC.00144-21,USA,prospective PK study,10,RRT,impaired,CRRT,cefepime
CRRT parameters,Extracorporeal parameters,yes,NA,Al-Shaer,2021,https://dx.doi.org/10.1128/AAC.00144-21,USA,prospective PK study,10,RRT,impaired,CRRT,cefepime
CRRT parameters,Extracorporeal parameters,no,NA,Al-Shaer,2021,https://dx.doi.org/10.1128/AAC.00144-21,USA,prospective PK study,10,RRT,impaired,CRRT,cefepime
CRRT parameters,Extracorporeal parameters,yes,NA,Al-Shaer,2021,https://dx.doi.org/10.1128/AAC.00144-21,USA,prospective PK study,10,RRT,impaired,CRRT,cefepime
CRRT parameters,Extracorporeal parameters,no,NA,Al-Shaer,2021,https://dx.doi.org/10.1128/AAC.00144-21,USA,prospective PK study,10,RRT,impaired,CRRT,cefepime
urine output,Physiological parameters,no,NA,Al-Shaer,2021,https://dx.doi.org/10.1128/AAC.00144-21,USA,prospective PK study,10,RRT,impaired,CRRT,cefepime
weight,Patient characteristics,no,NA,Al-Shaer,2021,https://dx.doi.org/10.1128/AAC.00144-21,USA,prospective PK study,10,RRT,impaired,CRRT,cefepime
creatinine clearance,Physiological parameters,no,NA,Dhaese,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.08.024,Belgium,prospective PK study,17,no,normal,general ICU,piperacillin
BMI,Patient characteristics,yes,V,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
age,Patient characteristics,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
